# ----------------------------------------
# Alle Websitedaten
# Ereignisseiten
# 20160101-20170131
# ----------------------------------------

Seite,Ereignisse gesamt,Eindeutige Ereignisse,Ereigniswert,Durchschn. Wert
/projekt/schuelerpraktikum_de?a=posts,1.007,874,5.417.600,"5.379,94"
/projekt/schuelerpraktikum_de,535,487,2.068.580,"3.866,50"
/profilcheck/start,47.387,28.011,0,"0,00"
/profilcheck/auswertung,77.435,63.606,0,"0,00"
/profilcheck/9,83.866,76.658,22.383,"0,27"
/profilcheck/8,84.286,77.078,27.836,"0,33"
/profilcheck/7,85.008,77.576,25.918,"0,30"
/profilcheck/6,85.725,78.104,21.520,"0,25"
/profilcheck/5,86.502,78.721,33.885,"0,39"
/profilcheck/4,87.074,79.234,30.205,"0,35"
/profilcheck/3,87.944,79.989,12.625,"0,14"
/profilcheck/20,95.487,75.167,24.647,"0,26"
/profilcheck/2,90.736,81.149,11.078,"0,12"
/profilcheck/19,88.948,75.171,17.896,"0,20"
/profilcheck/18,84.814,75.197,24.301,"0,29"
/profilcheck/17,83.130,75.257,16.937,"0,20"
/profilcheck/16,82.164,75.320,12.368,"0,15"
/profilcheck/15,82.008,75.268,21.301,"0,26"
/profilcheck/14,82.260,75.554,21.770,"0,26"
/profilcheck/13,82.524,75.692,14.301,"0,17"
/profilcheck/12,82.881,75.863,16.937,"0,20"
/profilcheck/11,82.829,76.022,27.970,"0,34"
/profilcheck/10,83.134,76.253,19.435,"0,23"
/profilcheck/1,96.071,84.680,20.468,"0,21"
/profilcheck/01,15,0,0,"0,00"
/praktikumsplatzsuche/rechnen-programmieren,476,431,2.216.992,"4.657,55"
/praktikumsplatzsuche/ordnen-verwalten,212,190,1.525.950,"7.197,88"
/praktikumsplatzsuche/oberhausen,7,4,105.041,"15.005,86"
/praktikumsplatzsuche/helfen-betreuen,353,338,2.134.089,"6.045,58"
/praktikumsplatzsuche/gestalten-kreieren,398,353,2.625.915,"6.597,78"
/praktikumsplatzsuche/forschen-entdecken,126,119,1.223.883,"9.713,36"
/praktikumsplatzsuche/beraten-verkaufen,141,138,1.277.969,"9.063,61"
/praktikumsplatzsuche/anpacken-handwerken,138,119,514.205,"3.726,12"
/praktikumsplatzsuche?p=2,22,22,174.952,"7.952,36"
/praktikumsplatzsuche?p=14,4,4,52.465,"13.116,25"
/praktikumsplatzsuche?p=13,7,7,63.528,"9.075,43"
/praktikumsplatzsuche?p=12,97,89,592.016,"6.103,26"
/praktikumsplatzsuche?p=11,11,7,105.067,"9.551,55"
/praktikumsplatzsuche?p=10,22,15,68.680,"3.121,82"
/praktikumsplatzsuche,32.941,29.691,185.025.408,"5.616,87"
/praktikumsplatz/zueblin/15405,33,15,515.410,"15.618,48"
/praktikumsplatz/vegansnacks/15409,30,19,458.261,"15.275,37"
/praktikumsplatz/tecis/14155,15,11,210.484,"14.032,27"
/praktikumsplatz/teag/15373,15,15,228.595,"15.239,67"
/praktikumsplatz/stahlbau-rattey/1217,4,4,4.524,"1.131,00"
/praktikumsplatz/schuleplus/15369,4,4,57.134,"14.283,50"
/praktikumsplatz/schuelerpraktikum_de/9966,4,4,37.048,"9.262,00"
/praktikumsplatz/schuelerpraktikum_de/9907,7,4,73.658,"10.522,57"
/praktikumsplatz/schuelerpraktikum_de/9782,4,4,36.364,"9.091,00"
/praktikumsplatz/schuelerpraktikum_de/9566,4,4,35.561,"8.890,25"
/praktikumsplatz/schuelerpraktikum_de/9520,4,4,35.390,"8.847,50"
/praktikumsplatz/schuelerpraktikum_de/9446,4,4,35.115,"8.778,75"
/praktikumsplatz/schuelerpraktikum_de/9442,4,4,35.100,"8.775,00"
/praktikumsplatz/schuelerpraktikum_de/9383,4,4,34.881,"8.720,25"
/praktikumsplatz/schuelerpraktikum_de/9369,4,4,34.829,"8.707,25"
/praktikumsplatz/schuelerpraktikum_de/9295,4,4,34.554,"8.638,50"
/praktikumsplatz/schuelerpraktikum_de/9211,4,4,34.242,"8.560,50"
/praktikumsplatz/schuelerpraktikum_de/9131,4,4,33.944,"8.486,00"
/praktikumsplatz/schuelerpraktikum_de/9092,4,4,33.799,"8.449,75"
/praktikumsplatz/schuelerpraktikum_de/9042,7,4,67.227,"9.603,86"
/praktikumsplatz/schuelerpraktikum_de/8960,4,4,33.309,"8.327,25"
/praktikumsplatz/schuelerpraktikum_de/8927,4,4,33.186,"8.296,50"
/praktikumsplatz/schuelerpraktikum_de/8924,4,4,33.175,"8.293,75"
/praktikumsplatz/schuelerpraktikum_de/8916,4,4,33.145,"8.286,25"
/praktikumsplatz/schuelerpraktikum_de/8911,4,4,33.126,"8.281,50"
/praktikumsplatz/schuelerpraktikum_de/8857,4,4,32.926,"8.231,50"
/praktikumsplatz/schuelerpraktikum_de/8769,4,4,32.599,"8.149,75"
/praktikumsplatz/schuelerpraktikum_de/8737,7,4,64.959,"9.279,86"
/praktikumsplatz/schuelerpraktikum_de/8447,4,4,31.402,"7.850,50"
/praktikumsplatz/schuelerpraktikum_de/8440,7,4,62.751,"8.964,43"
/praktikumsplatz/schuelerpraktikum_de/8437,4,4,31.364,"7.841,00"
/praktikumsplatz/schuelerpraktikum_de/8419,15,7,125.190,"8.346,00"
/praktikumsplatz/schuelerpraktikum_de/8326,4,4,30.952,"7.738,00"
/praktikumsplatz/schuelerpraktikum_de/8053,11,7,89.811,"8.164,64"
/praktikumsplatz/schuelerpraktikum_de/7975,4,4,29.647,"7.411,75"
/praktikumsplatz/schuelerpraktikum_de/7973,4,4,29.639,"7.409,75"
/praktikumsplatz/schuelerpraktikum_de/7951,4,4,29.558,"7.389,50"
/praktikumsplatz/schuelerpraktikum_de/7896,4,4,29.353,"7.338,25"
/praktikumsplatz/schuelerpraktikum_de/7881,4,4,29.297,"7.324,25"
/praktikumsplatz/schuelerpraktikum_de/7870,4,4,29.257,"7.314,25"
/praktikumsplatz/schuelerpraktikum_de/7859,11,7,87.647,"7.967,91"
/praktikumsplatz/schuelerpraktikum_de/7700,4,4,28.625,"7.156,25"
/praktikumsplatz/schuelerpraktikum_de/7655,4,4,28.457,"7.114,25"
/praktikumsplatz/schuelerpraktikum_de/7587,4,4,28.205,"7.051,25"
/praktikumsplatz/schuelerpraktikum_de/7460,4,4,27.732,"6.933,00"
/praktikumsplatz/schuelerpraktikum_de/7415,11,11,82.695,"7.517,73"
/praktikumsplatz/schuelerpraktikum_de/7398,4,4,27.502,"6.875,50"
/praktikumsplatz/schuelerpraktikum_de/7383,4,4,27.446,"6.861,50"
/praktikumsplatz/schuelerpraktikum_de/7344,4,4,27.301,"6.825,25"
/praktikumsplatz/schuelerpraktikum_de/7296,4,4,27.123,"6.780,75"
/praktikumsplatz/schuelerpraktikum_de/2512,22,22,56.030,"2.546,82"
/praktikumsplatz/schuelerpraktikum_de/2511,74,63,186.692,"2.522,86"
/praktikumsplatz/schuelerpraktikum_de/2508,4,4,9.323,"2.330,75"
/praktikumsplatz/schuelerpraktikum_de/2507,4,4,9.320,"2.330,00"
/praktikumsplatz/schuelerpraktikum_de/2503,15,15,37.219,"2.481,27"
/praktikumsplatz/schuelerpraktikum_de/2502,22,15,55.807,"2.536,68"
/praktikumsplatz/schuelerpraktikum_de/2494,7,7,18.543,"2.649,00"
/praktikumsplatz/schuelerpraktikum_de/2493,7,7,18.535,"2.647,86"
/praktikumsplatz/schuelerpraktikum_de/2491,4,4,9.260,"2.315,00"
/praktikumsplatz/schuelerpraktikum_de/2486,52,41,129.383,"2.488,13"
/praktikumsplatz/schuelerpraktikum_de/2485,4,4,9.238,"2.309,50"
/praktikumsplatz/schuelerpraktikum_de/2480,7,7,18.439,"2.634,14"
/praktikumsplatz/schuelerpraktikum_de/2479,4,4,9.216,"2.304,00"
/praktikumsplatz/schuelerpraktikum_de/2478,7,4,18.424,"2.632,00"
/praktikumsplatz/schuelerpraktikum_de/2477,48,37,119.707,"2.493,90"
/praktikumsplatz/schuelerpraktikum_de/2475,4,4,9.201,"2.300,25"
/praktikumsplatz/schuelerpraktikum_de/2474,30,26,73.576,"2.452,53"
/praktikumsplatz/schuelerpraktikum_de/2473,7,4,18.387,"2.626,71"
/praktikumsplatz/schuelerpraktikum_de/2472,4,4,9.190,"2.297,50"
/praktikumsplatz/schuelerpraktikum_de/2469,15,7,36.714,"2.447,60"
/praktikumsplatz/schuelerpraktikum_de/2468,7,7,18.349,"2.621,29"
/praktikumsplatz/schuelerpraktikum_de/2467,11,11,27.513,"2.501,18"
/praktikumsplatz/schuelerpraktikum_de/2465,56,48,137.454,"2.454,54"
/praktikumsplatz/schuelerpraktikum_de/2463,11,11,27.468,"2.497,09"
/praktikumsplatz/schuelerpraktikum_de/2462,26,19,64.067,"2.464,12"
/praktikumsplatz/schuelerpraktikum_de/2459,4,4,9.141,"2.285,25"
/praktikumsplatz/schuelerpraktikum_de/2458,7,7,18.275,"2.610,71"
/praktikumsplatz/schuelerpraktikum_de/2457,15,7,36.535,"2.435,67"
/praktikumsplatz/schuelerpraktikum_de/2456,7,4,18.260,"2.608,57"
/praktikumsplatz/schuelerpraktikum_de/2455,7,7,18.253,"2.607,57"
/praktikumsplatz/schuelerpraktikum_de/2453,4,4,9.119,"2.279,75"
/praktikumsplatz/schuelerpraktikum_de/2451,15,15,36.446,"2.429,73"
/praktikumsplatz/schuelerpraktikum_de/2450,15,11,36.431,"2.428,73"
/praktikumsplatz/schuelerpraktikum_de/2448,4,4,9.100,"2.275,00"
/praktikumsplatz/schuelerpraktikum_de/2447,52,45,127.353,"2.449,10"
/praktikumsplatz/schuelerpraktikum_de/2444,4,4,9.086,"2.271,50"
/praktikumsplatz/schuelerpraktikum_de/2443,26,26,63.573,"2.445,12"
/praktikumsplatz/schuelerpraktikum_de/2442,7,7,18.156,"2.593,71"
/praktikumsplatz/schuelerpraktikum_de/2441,7,7,18.149,"2.592,71"
/praktikumsplatz/schuelerpraktikum_de/2438,7,7,18.126,"2.589,43"
/praktikumsplatz/schuelerpraktikum_de/2436,11,11,27.167,"2.469,73"
/praktikumsplatz/schuelerpraktikum_de/2435,4,4,9.052,"2.263,00"
/praktikumsplatz/schuelerpraktikum_de/2433,7,7,18.089,"2.584,14"
/praktikumsplatz/schuelerpraktikum_de/2430,7,7,18.067,"2.581,00"
/praktikumsplatz/schuelerpraktikum_de/2427,4,4,9.022,"2.255,50"
/praktikumsplatz/schuelerpraktikum_de/2424,4,4,9.011,"2.252,75"
/praktikumsplatz/schuelerpraktikum_de/2423,7,7,18.015,"2.573,57"
/praktikumsplatz/schuelerpraktikum_de/2420,4,4,8.996,"2.249,00"
/praktikumsplatz/schuelerpraktikum_de/2419,4,4,8.993,"2.248,25"
/praktikumsplatz/schuelerpraktikum_de/2415,7,7,17.955,"2.565,00"
/praktikumsplatz/schuelerpraktikum_de/2412,7,7,17.933,"2.561,86"
/praktikumsplatz/schuelerpraktikum_de/2407,4,4,8.948,"2.237,00"
/praktikumsplatz/schuelerpraktikum_de/2404,4,4,8.937,"2.234,25"
/praktikumsplatz/schuelerpraktikum_de/2403,26,26,62.532,"2.405,08"
/praktikumsplatz/schuelerpraktikum_de/2400,4,4,8.922,"2.230,50"
/praktikumsplatz/schuelerpraktikum_de/2396,4,4,8.907,"2.226,75"
/praktikumsplatz/schuelerpraktikum_de/2393,4,4,8.896,"2.224,00"
/praktikumsplatz/schuelerpraktikum_de/2392,4,4,8.892,"2.223,00"
/praktikumsplatz/schuelerpraktikum_de/2391,22,15,53.331,"2.424,14"
/praktikumsplatz/schuelerpraktikum_de/2389,4,4,8.881,"2.220,25"
/praktikumsplatz/schuelerpraktikum_de/2382,45,45,106.260,"2.361,33"
/praktikumsplatz/schuelerpraktikum_de/2378,4,4,8.840,"2.210,00"
/praktikumsplatz/schuelerpraktikum_de/2375,7,7,17.658,"2.522,57"
/praktikumsplatz/schuelerpraktikum_de/2371,4,4,8.814,"2.203,50"
/praktikumsplatz/schuelerpraktikum_de/2368,4,4,8.803,"2.200,75"
/praktikumsplatz/schuelerpraktikum_de/2363,19,15,43.922,"2.311,68"
/praktikumsplatz/schuelerpraktikum_de/2358,4,4,8.766,"2.191,50"
/praktikumsplatz/schuelerpraktikum_de/2356,4,4,8.758,"2.189,50"
/praktikumsplatz/schuelerpraktikum_de/2355,11,11,26.264,"2.387,64"
/praktikumsplatz/schuelerpraktikum_de/2354,63,48,148.766,"2.361,37"
/praktikumsplatz/schuelerpraktikum_de/2353,7,4,17.494,"2.499,14"
/praktikumsplatz/schuelerpraktikum_de/2352,4,4,8.744,"2.186,00"
/praktikumsplatz/schuelerpraktikum_de/2351,7,7,17.480,"2.497,14"
/praktikumsplatz/schuelerpraktikum_de/2350,4,4,8.736,"2.184,00"
/praktikumsplatz/schuelerpraktikum_de/2348,7,7,17.457,"2.493,86"
/praktikumsplatz/schuelerpraktikum_de/2343,19,19,43.550,"2.292,11"
/praktikumsplatz/schuelerpraktikum_de/2340,4,4,8.699,"2.174,75"
/praktikumsplatz/schuelerpraktikum_de/2338,4,4,8.691,"2.172,75"
/praktikumsplatz/schuelerpraktikum_de/2337,4,4,8.688,"2.172,00"
/praktikumsplatz/schuelerpraktikum_de/2335,4,4,8.680,"2.170,00"
/praktikumsplatz/schuelerpraktikum_de/2334,33,33,78.089,"2.366,33"
/praktikumsplatz/schuelerpraktikum_de/2333,41,37,95.402,"2.326,88"
/praktikumsplatz/schuelerpraktikum_de/2332,126,123,294.751,"2.339,29"
/praktikumsplatz/schuelerpraktikum_de/2328,4,4,8.654,"2.163,50"
/praktikumsplatz/schuelerpraktikum_de/2327,11,7,25.952,"2.359,27"
/praktikumsplatz/schuelerpraktikum_de/2326,15,11,34.587,"2.305,80"
/praktikumsplatz/schuelerpraktikum_de/2323,26,26,60.450,"2.325,00"
/praktikumsplatz/schuelerpraktikum_de/2319,4,4,8.621,"2.155,25"
/praktikumsplatz/schuelerpraktikum_de/2318,4,4,8.617,"2.154,25"
/praktikumsplatz/schuelerpraktikum_de/2317,45,41,103.361,"2.296,91"
/praktikumsplatz/schuelerpraktikum_de/2313,11,11,25.796,"2.345,09"
/praktikumsplatz/schuelerpraktikum_de/2312,4,4,8.595,"2.148,75"
/praktikumsplatz/schuelerpraktikum_de/2310,7,7,17.175,"2.453,57"
/praktikumsplatz/schuelerpraktikum_de/2309,26,19,60.086,"2.311,00"
/praktikumsplatz/schuelerpraktikum_de/2308,7,7,17.160,"2.451,43"
/praktikumsplatz/schuelerpraktikum_de/2301,48,45,111.201,"2.316,69"
/praktikumsplatz/schuelerpraktikum_de/2299,4,4,8.546,"2.136,50"
/praktikumsplatz/schuelerpraktikum_de/2298,4,4,8.543,"2.135,75"
/praktikumsplatz/schuelerpraktikum_de/2297,7,7,17.078,"2.439,71"
/praktikumsplatz/schuelerpraktikum_de/2294,7,7,17.056,"2.436,57"
/praktikumsplatz/schuelerpraktikum_de/2292,4,4,8.520,"2.130,00"
/praktikumsplatz/schuelerpraktikum_de/2287,4,4,8.502,"2.125,50"
/praktikumsplatz/schuelerpraktikum_de/2285,11,11,25.483,"2.316,64"
/praktikumsplatz/schuelerpraktikum_de/2276,4,4,8.461,"2.115,25"
/praktikumsplatz/schuelerpraktikum_de/2274,4,4,8.454,"2.113,50"
/praktikumsplatz/schuelerpraktikum_de/2273,7,7,16.900,"2.414,29"
/praktikumsplatz/schuelerpraktikum_de/2272,4,4,8.446,"2.111,50"
/praktikumsplatz/schuelerpraktikum_de/2268,7,4,16.862,"2.408,86"
/praktikumsplatz/schuelerpraktikum_de/2267,4,4,8.428,"2.107,00"
/praktikumsplatz/schuelerpraktikum_de/2265,7,7,16.840,"2.405,71"
/praktikumsplatz/schuelerpraktikum_de/2258,4,4,8.394,"2.098,50"
/praktikumsplatz/schuelerpraktikum_de/2257,4,4,8.390,"2.097,50"
/praktikumsplatz/schuelerpraktikum_de/2245,78,67,175.261,"2.246,94"
/praktikumsplatz/schuelerpraktikum_de/2241,4,4,8.331,"2.082,75"
/praktikumsplatz/schuelerpraktikum_de/2239,11,11,24.970,"2.270,00"
/praktikumsplatz/schuelerpraktikum_de/2238,4,0,8.320,"2.080,00"
/praktikumsplatz/schuelerpraktikum_de/2234,4,4,8.305,"2.076,25"
/praktikumsplatz/schuelerpraktikum_de/2230,7,4,16.580,"2.368,57"
/praktikumsplatz/schuelerpraktikum_de/2226,4,4,8.275,"2.068,75"
/praktikumsplatz/schuelerpraktikum_de/2225,7,7,16.543,"2.363,29"
/praktikumsplatz/schuelerpraktikum_de/2224,4,4,8.268,"2.067,00"
/praktikumsplatz/schuelerpraktikum_de/2223,4,4,8.264,"2.066,00"
/praktikumsplatz/schuelerpraktikum_de/2220,11,11,24.758,"2.250,73"
/praktikumsplatz/schuelerpraktikum_de/2217,4,4,8.242,"2.060,50"
/praktikumsplatz/schuelerpraktikum_de/2216,4,4,8.238,"2.059,50"
/praktikumsplatz/schuelerpraktikum_de/2214,4,4,8.230,"2.057,50"
/praktikumsplatz/schuelerpraktikum_de/2212,7,7,16.446,"2.349,43"
/praktikumsplatz/schuelerpraktikum_de/2205,4,4,8.197,"2.049,25"
/praktikumsplatz/schuelerpraktikum_de/2204,7,7,16.387,"2.341,00"
/praktikumsplatz/schuelerpraktikum_de/2203,19,19,40.948,"2.155,16"
/praktikumsplatz/schuelerpraktikum_de/2197,7,7,16.335,"2.333,57"
/praktikumsplatz/schuelerpraktikum_de/2193,4,4,8.152,"2.038,00"
/praktikumsplatz/schuelerpraktikum_de/2190,4,4,8.141,"2.035,25"
/praktikumsplatz/schuelerpraktikum_de/2189,4,4,8.138,"2.034,50"
/praktikumsplatz/schuelerpraktikum_de/2180,4,4,8.104,"2.026,00"
/praktikumsplatz/schuelerpraktikum_de/2177,4,4,8.093,"2.023,25"
/praktikumsplatz/schuelerpraktikum_de/2174,4,4,8.082,"2.020,50"
/praktikumsplatz/schuelerpraktikum_de/2173,33,33,72.703,"2.203,12"
/praktikumsplatz/schuelerpraktikum_de/2171,4,4,8.071,"2.017,75"
/praktikumsplatz/schuelerpraktikum_de/2170,4,4,8.067,"2.016,75"
/praktikumsplatz/schuelerpraktikum_de/2164,4,4,8.045,"2.011,25"
/praktikumsplatz/schuelerpraktikum_de/2160,7,4,16.060,"2.294,29"
/praktikumsplatz/schuelerpraktikum_de/2147,11,11,23.944,"2.176,73"
/praktikumsplatz/schuelerpraktikum_de/2144,4,4,7.970,"1.992,50"
/praktikumsplatz/schuelerpraktikum_de/2141,7,7,15.918,"2.274,00"
/praktikumsplatz/schuelerpraktikum_de/2137,4,4,7.944,"1.986,00"
/praktikumsplatz/schuelerpraktikum_de/2131,4,4,7.922,"1.980,50"
/praktikumsplatz/schuelerpraktikum_de/2129,15,7,31.658,"2.110,53"
/praktikumsplatz/schuelerpraktikum_de/2124,7,7,15.792,"2.256,00"
/praktikumsplatz/schuelerpraktikum_de/2114,4,4,7.859,"1.964,75"
/praktikumsplatz/schuelerpraktikum_de/2110,7,4,15.688,"2.241,14"
/praktikumsplatz/schuelerpraktikum_de/2109,4,4,7.840,"1.960,00"
/praktikumsplatz/schuelerpraktikum_de/2102,4,4,7.814,"1.953,50"
/praktikumsplatz/schuelerpraktikum_de/2101,7,7,15.621,"2.231,57"
/praktikumsplatz/schuelerpraktikum_de/2097,4,4,7.796,"1.949,00"
/praktikumsplatz/schuelerpraktikum_de/2096,4,4,7.792,"1.948,00"
/praktikumsplatz/schuelerpraktikum_de/2090,4,4,7.770,"1.942,50"
/praktikumsplatz/schuelerpraktikum_de/2087,4,4,7.758,"1.939,50"
/praktikumsplatz/schuelerpraktikum_de/2086,11,4,23.264,"2.114,91"
/praktikumsplatz/schuelerpraktikum_de/2083,4,4,7.744,"1.936,00"
/praktikumsplatz/schuelerpraktikum_de/2076,4,4,7.717,"1.929,25"
/praktikumsplatz/schuelerpraktikum_de/2070,4,4,7.695,"1.923,75"
/praktikumsplatz/schuelerpraktikum_de/2069,11,7,23.074,"2.097,64"
/praktikumsplatz/schuelerpraktikum_de/2068,7,4,15.375,"2.196,43"
/praktikumsplatz/schuelerpraktikum_de/2063,4,4,7.669,"1.917,25"
/praktikumsplatz/schuelerpraktikum_de/2060,4,4,7.658,"1.914,50"
/praktikumsplatz/schuelerpraktikum_de/2047,4,4,7.610,"1.902,50"
